,Carburant,Hybride,Puissance maximale (kW),type_boite,nombre_vitesses,CO2 (g/km),Carrosserie,gamme,masse vide moyenne
0,ES,non,147.0,M,6,182.0,BREAK,MOY-SUPER,1505.0
1,GO,non,125.0,M,6,136.0,BERLINE,MOY-SUPER,1565.0
2,GO,non,100.0,M,6,134.0,BERLINE,MOY-SUPER,1565.0
4,GO,non,125.0,M,6,139.0,BERLINE,MOY-SUPER,1565.0
6,ES,non,147.0,M,6,186.0,BREAK,MOY-SUPER,1555.0
7,GO,non,125.0,M,6,139.0,BREAK,MOY-SUPER,1615.0
8,GO,non,100.0,M,6,137.0,BREAK,MOY-SUPER,1615.0
10,GO,non,125.0,M,6,142.0,BREAK,MOY-SUPER,1615.0
12,ES,non,331.0,M,6,379.0,CABRIOLET,LUXE,1750.0
14,ES,non,147.0,M,6,189.0,COUPE,MOY-SUPER,1505.0
16,GO,non,125.0,M,6,142.0,COUPE,MOY-SUPER,1555.0
18,GO,non,120.0,M,6,142.0,COUPE,MOY-SUPER,1555.0
20,ES,non,88.0,M,6,149.0,BERLINE,MOY-INFER,1355.0
27,ES,non,125.0,D,6,121.0,BERLINE,MOY-INFER,1380.0
31,ES,non,125.0,M,6,134.0,BERLINE,MOY-INFER,1365.0
38,ES,non,172.5,M,6,177.0,BERLINE,MOY-INFER,1395.0
40,GO,non,77.0,M,6,114.0,BERLINE,MOY-INFER,1385.0
42,GO,non,125.0,D,6,119.0,BERLINE,MOY-INFER,1410.0
44,GO,non,125.0,M,6,124.0,BERLINE,MOY-INFER,1395.0
47,ES,non,85.0,M,6,149.0,BERLINE,MOY-INFER,1355.0
49,ES,non,120.0,D,6,121.0,BERLINE,MOY-INFER,1380.0
51,ES,non,120.0,M,6,134.0,BERLINE,MOY-INFER,1365.0
53,GO,non,120.0,D,6,119.0,BERLINE,MOY-INFER,1410.0
55,GO,non,120.0,M,6,124.0,BERLINE,MOY-INFER,1395.0
57,GO,non,103.0,M,6,119.0,BERLINE,MOY-INFER,1395.0
61,GO,non,100.0,M,6,119.0,BERLINE,MOY-INFER,1395.0
63,ES,non,77.0,M,6,149.0,BERLINE,MOY-INFER,1355.0
67,GO,non,88.0,M,6,114.0,BERLINE,INFERIEURE,1280.0
69,GO,non,85.0,M,6,114.0,BERLINE,INFERIEURE,1280.0
71,ES,non,77.0,M,6,136.0,BERLINE,INFERIEURE,1185.0
72,ES,non,77.0,M,6,134.0,BERLINE,INFERIEURE,1165.0
74,ES,non,99.0,M,5,129.0,BERLINE,INFERIEURE,1210.0
76,ES,non,125.0,M,6,139.0,BERLINE,INFERIEURE,1220.0
78,GO,non,70.0,M,5,104.0,BERLINE,INFERIEURE,1225.0
80,ES,non,99.0,M,6,126.0,BERLINE,INFERIEURE,1245.0
82,GO,non,62.0,M,5,95.0,BERLINE,INFERIEURE,1225.0
86,GO,non,62.0,M,5,90.0,BERLINE,INFERIEURE,1225.0
90,GO,non,62.0,M,5,88.0,BERLINE,INFERIEURE,1225.0
92,ES,non,57.0,M,5,130.0,BERLINE,INFERIEURE,1155.0
94,ES,non,51.0,M,5,134.0,BERLINE,INFERIEURE,1155.0
96,ES,non,62.5,M,6,98.0,BERLINE,INFERIEURE,1205.0
98,ES,non,77.0,M,6,99.0,BERLINE,INFERIEURE,1205.0
100,ES,non,147.0,M,6,192.0,CABRIOLET,SUPERIEURE,1565.0
101,GO,non,125.0,M,6,142.0,CABRIOLET,SUPERIEURE,1615.0
102,GO,non,120.0,M,6,142.0,CABRIOLET,SUPERIEURE,1615.0
103,ES,non,72.0,M,6,116.0,BERLINE,INFERIEURE,1063.0
104,ES,non,72.0,V,0,120.0,BERLINE,INFERIEURE,1063.0
107,ES,non,381.0,A,6,333.0,COUPE,LUXE,1860.0
111,ES,non,381.0,A,6,333.0,COUPE,LUXE,1965.0
115,ES,non,559.3,A,6,555.0,COUPE,LUXE,1815.0
116,ES,non,559.3,A,6,572.0,COUPE,LUXE,1815.0
119,ES,non,410.0,A,6,332.0,COUPE,LUXE,2065.0
121,ES,non,422.0,A,6,335.0,COUPE,LUXE,1814.0
125,ES,non,313.2,M,6,321.0,COUPE,LUXE,1785.0
127,ES,non,313.2,A,7,299.0,COUPE,LUXE,1785.0
129,ES,non,320.7,M,6,321.0,COUPE,LUXE,1765.0
131,ES,non,320.7,A,7,299.0,COUPE,LUXE,1765.0
133,ES,non,313.2,M,6,321.0,COUPE,LUXE,1705.0
135,ES,non,313.2,A,7,299.0,COUPE,LUXE,1705.0
137,ES,non,320.7,M,6,321.0,COUPE,LUXE,1685.0
139,ES,non,320.7,A,7,299.0,COUPE,LUXE,1685.0
141,ES,non,380.0,M,6,388.0,COUPE,LUXE,1755.0
143,ES,non,380.0,M,6,388.0,COUPE,LUXE,1835.0
147,ES,non,313.2,A,6,295.0,COUPE,LUXE,1785.0
163,ES,non,313.2,A,6,295.0,COUPE,LUXE,1705.0
181,ES,non,136.0,A,7,139.0,BERLINE,INFERIEURE,1265.0
182,ES,non,90.0,A,7,122.0,BERLINE,INFERIEURE,1200.0
184,GO,non,66.0,A,7,110.0,BERLINE,INFERIEURE,1235.0
185,GO,non,66.0,M,5,99.0,BERLINE,INFERIEURE,1210.0
186,GO,non,77.0,M,5,99.0,BERLINE,INFERIEURE,1215.0
187,ES,non,63.0,M,5,118.0,BERLINE,INFERIEURE,1115.0
188,GO,non,105.0,M,6,108.0,BERLINE,INFERIEURE,1265.0
189,ES,non,103.0,A,7,109.0,BERLINE,INFERIEURE,1195.0
190,ES,non,103.0,M,6,109.0,BERLINE,INFERIEURE,1185.0
191,ES,non,136.0,A,7,139.0,BERLINE,INFERIEURE,1290.0
192,ES,non,90.0,A,7,122.0,BERLINE,INFERIEURE,1225.0
193,ES,non,90.0,M,6,126.0,BERLINE,INFERIEURE,1200.0
194,GO,non,66.0,A,7,110.0,BERLINE,INFERIEURE,1260.0
195,GO,non,66.0,M,5,99.0,BERLINE,INFERIEURE,1235.0
196,GO,non,77.0,M,5,99.0,BERLINE,INFERIEURE,1240.0
197,ES,non,63.0,M,5,118.0,BERLINE,INFERIEURE,1140.0
198,GO,non,105.0,M,6,108.0,BERLINE,INFERIEURE,1290.0
199,ES,non,103.0,A,7,113.0,BERLINE,INFERIEURE,1220.0
200,ES,non,103.0,M,6,113.0,BERLINE,INFERIEURE,1210.0
201,ES,non,188.0,M,6,199.0,BERLINE,INFERIEURE,1465.0
202,ES,non,92.0,M,6,139.0,CABRIOLET,MOY-INFER,1485.0
203,GO,non,77.0,M,5,114.0,CABRIOLET,MOY-INFER,1505.0
204,ES,non,77.0,M,6,132.0,CABRIOLET,MOY-INFER,1435.0
205,ES,non,147.0,A,6,171.0,CABRIOLET,MOY-INFER,1560.0
206,ES,non,147.0,M,6,169.0,CABRIOLET,MOY-INFER,1510.0
207,ES,non,118.0,A,7,154.0,CABRIOLET,MOY-INFER,1525.0
208,ES,non,118.0,M,6,156.0,CABRIOLET,MOY-INFER,1500.0
209,GO,non,100.0,A,6,134.0,CABRIOLET,MOY-INFER,1570.0
210,GO,non,100.0,M,6,119.0,CABRIOLET,MOY-INFER,1550.0
211,ES,non,132.0,A,7,130.0,BERLINE,MOY-INFER,1325.0
212,ES,non,132.0,M,6,135.0,BERLINE,MOY-INFER,1305.0
213,ES,non,132.0,A,6,152.0,BERLINE,MOY-INFER,1425.0
214,ES,non,221.0,A,6,159.0,BERLINE,MOY-INFER,1490.0
215,ES,non,221.0,M,6,162.0,BERLINE,MOY-INFER,1470.0
216,ES,non,77.0,A,7,112.0,BERLINE,MOY-INFER,1245.0
217,ES,non,77.0,M,6,114.0,BERLINE,MOY-INFER,1225.0
218,GO,non,77.0,A,7,102.0,BERLINE,MOY-INFER,1325.0
219,GO,non,77.0,M,6,99.0,BERLINE,MOY-INFER,1305.0
220,ES,non,90.0,M,6,120.0,BERLINE,MOY-INFER,1250.0
221,ES,non,103.0,A,7,110.0,BERLINE,MOY-INFER,1280.0
222,ES,non,103.0,M,6,109.0,BERLINE,MOY-INFER,1270.0
223,GO,non,110.0,A,6,117.0,BERLINE,MOY-INFER,1370.0
224,GO,non,110.0,M,6,106.0,BERLINE,MOY-INFER,1355.0
225,GO,non,110.0,M,6,122.0,BERLINE,MOY-INFER,1435.0
226,ES,non,132.0,A,7,130.0,BERLINE,MOY-INFER,1355.0
227,GO,non,77.0,A,7,102.0,BERLINE,MOY-INFER,1355.0
228,GO,non,77.0,M,6,99.0,BERLINE,MOY-INFER,1335.0
229,ES,non,90.0,A,7,116.0,BERLINE,MOY-INFER,1300.0
230,ES,non,90.0,M,6,120.0,BERLINE,MOY-INFER,1280.0
231,ES,non,103.0,A,7,110.0,BERLINE,MOY-INFER,1310.0
232,ES,non,103.0,M,6,112.0,BERLINE,MOY-INFER,1300.0
233,GO,non,110.0,A,6,119.0,BERLINE,MOY-INFER,1395.0
234,GO,non,110.0,M,6,108.0,BERLINE,MOY-INFER,1385.0
235,GO,non,110.0,M,6,122.0,BERLINE,MOY-INFER,1465.0
236,ES,non,88.0,V,0,149.0,BREAK,MOY-SUPER,1600.0
237,ES,non,88.0,M,6,154.0,BREAK,MOY-SUPER,1565.0
238,GO,non,180.0,M,6,154.0,BREAK,MOY-SUPER,1755.0
239,ES,non,331.0,A,7,249.0,BREAK,MOY-SUPER,1870.0
240,GO,non,130.0,V,0,129.0,BREAK,MOY-SUPER,1650.0
241,GO,non,130.0,M,6,126.0,BREAK,MOY-SUPER,1610.0
242,GO,non,130.0,A,7,144.0,BREAK,MOY-SUPER,1715.0
243,GO,non,130.0,M,6,139.0,BREAK,MOY-SUPER,1675.0
244,ES,non,245.0,A,7,197.0,BREAK,MOY-SUPER,1825.0
245,GO,non,100.0,M,6,116.0,BREAK,MOY-SUPER,1610.0
246,GO,non,88.0,M,6,123.0,BREAK,MOY-SUPER,1615.0
247,GO,non,180.0,A,7,154.0,BREAK,MOY-SUPER,1840.0
248,GO,non,150.0,V,0,135.0,BREAK,MOY-SUPER,1715.0
249,GO,non,150.0,M,6,135.0,BREAK,MOY-SUPER,1695.0
250,ES,non,200.0,A,7,197.0,BREAK,MOY-SUPER,1790.0
251,GO,non,130.0,A,7,156.0,TS TERRAINS/CHEMINS,MOY-SUPER,1745.0
252,GO,non,130.0,M,6,153.0,TS TERRAINS/CHEMINS,MOY-SUPER,1705.0
253,GO,non,180.0,A,7,159.0,TS TERRAINS/CHEMINS,MOY-SUPER,1865.0
254,ES,non,88.0,V,0,144.0,BERLINE,MOY-SUPER,1540.0
255,ES,non,88.0,M,6,151.0,BERLINE,MOY-SUPER,1505.0
256,GO,non,180.0,M,6,152.0,BERLINE,MOY-SUPER,1715.0
