,modèle,paramètres,normalisation,nombre de variables,méthode sélection variables,train score,test score,écart score,train rmse,test rmse,écart rmse,temps exécution (ms)
0,XGBoost,best_param_grid,aucune,36,aucune,0.9891851453939224,0.9618156759869133,-2.736946940700913,5.2902511311777936,9.836064219136002,0.8592811523006381,2.7435061931610107
1,XGBoost,best_param_grid,aucune,26,RFECV neg_min_squarred_error,0.9891364388377031,0.961488249054294,-2.7648189783409105,5.3021505260279245,9.87814585596737,0.863045156390067,2.5474853515625
2,XGBoost,,aucune,36,aucune,0.9838569429864361,0.9565417373639672,-2.731520562246892,6.463367295990348,10.493369900089524,0.6235144034904612,0.2195754051208496
3,RandomForestRegressor,"bootstrap= True, max_depth= 60, max_features= auto, min_samples_leaf= 1, min_samples_split= 2, n_estimators= 1900",aucune,36,aucune,0.9904150406520144,0.9548974933155676,-3.5517547336446853,4.980363983396615,10.690035367281231,1.146436566266912,17.12840986251831
4,RandomForestRegressor,"Degré=2,bootstrap=False, max_depth=20, max_features='sqrt',n_estimators=800",aucune,703,aucune,0.9906349100789956,0.9548058998655878,-3.5829010213407786,4.922910293022676,10.70088443856015,1.1736907239050636,66.61458683013916
5,RandomForestRegressor,n_estimators = 1000,aucune,36,RFECV neg_min_squarred_error,0.9903917310288783,0.9547087639285169,-3.568296710036145,4.986416169382309,10.712378002044458,1.1483120618412905,9.644223928451538
6,RandomForestRegressor,n_estimators = 1000,aucune,36,aucune,0.9903917310288785,0.9547087639285168,-3.568296710036145,4.986416169382309,10.712378002044458,1.1483120618412903,9.078887224197388
7,RandomForestRegressor,"Degré=3,n_estimators=1000",aucune,9139,aucune,0.9903316751498962,0.9523268491013624,-3.800482604853373,5.001975533877039,10.990456477762818,1.1972231577958352,702.0813112258911
28,XGBoost,best_param_grid,aucune,8,SelectionFromModel,0.9815369032406102,0.9446116941147442,-3.6925209125865943,6.912230611116543,11.846439566198326,0.7138374329042751,1.5599799156188965
8,RandomForestRegressor,n_estimators=1000,aucune,6,feature importance,0.9879159146315074,0.9410300592494678,-4.688585538203959,5.592073081628777,12.223459783429984,1.185854799284868,0.5915284156799316
9,RandomForestRegressor,n_estimators = 1000,aucune,4,SelectionFromModel,0.9852941578874527,0.929407700446641,-5.588645744081166,6.168944962049717,13.373881381225926,1.1679365699483029,6.019464015960693
10,Ridge,"Degré=4, Alpha=0.8",MinMaxScaler,9138,déciles coefficients,0.9330101477874996,0.9066343740257776,-2.6375773761722066,13.166503410573638,15.38056569056376,0.1681587138930198,1.9961400032043457
11,Ridge,"Degré=4, Alpha=0.8",MinMaxScaler,18276,déciles coefficients,0.933010147325195,0.9066025798516923,-2.640756747350259,13.166503456005406,15.383184270762506,0.1683575918362778,3.434742212295532
12,Ridge,"Degré=4, Alpha=0.8",MinMaxScaler,91390,aucune,0.933010147325198,0.9066025798516786,-2.640756747351936,13.16650345600512,15.383184270763648,0.1683575918363899,15.920948266983032
13,Ridge,"Degré=4, Alpha=0.8, Interaction_only=True",MinMaxScaler,66712,aucune,0.9254830271933536,0.9060491868843148,-1.9433840309038608,13.886523964831836,15.428690737082029,0.1110549174261168,11.49394392967224
14,Ridge,"Degré=4, Alpha=0.8",MinMaxScaler,100,coefficients,0.8973047773434492,0.8847837466881759,-1.252103065527321,16.302006672168996,17.08581408850869,0.048080425440987,0.0158870220184326
15,Ridge,Alpha=0.7,MinMaxScaler,36,aucune,0.872456108484581,0.8689365851181818,-0.3519523366399157,0.0368509644632099,0.0369634604842119,0.0030527293556819,0.008970022201538
16,Ridge,Alpha=0.7,MinMaxScaler,29,LDA,0.872526747524725,0.8687910060195261,-0.3735741505198953,18.16249382307648,18.233103829302067,0.0038876823256435,0.0039868354797363
17,Ridge,Alpha=0.7,StandardScaler,36,aucune,0.8725660819076538,0.868446914095255,-0.4119167812398849,0.3577212585125924,0.3596380283453094,0.0053582776731999,0.0089688301086425
18,Ridge,Alpha=0.7,RobustScaler,36,aucune,0.8725506603587463,0.8681615882479596,-0.4389072110786651,0.263199857725354,0.2648809301277885,0.0063870566533081,0.0279021263122558
19,SVR,"C=1400, degree=1, epsilon=1.4, gamma=auto, kernel=linear",MinMaxScaler,36,aucune,0.8649279697383354,0.8663906553963114,0.1462685657976026,18.69599830514558,18.399127083017955,-0.015878864411638216,5.643582105636597
20,Ridge,"Degré=3 après sélection, Alpha=0.8",MinMaxScaler,10,SelectKBest,0.8661302741096383,0.8532854014536727,-1.284487265596557,18.61260381820971,19.280374577051795,0.0358773423301885,0.0280649662017822
21,Ridge,"Degré=2 après sélection,Alpha=0.8",MinMaxScaler,10,SelectKBest,0.8545762390833932,0.8487033110646427,-0.5872928018750501,19.39919158701195,19.57913559783043,0.0092758510070571,0.0159316062927246
